    1.000000      0.1520000E-02
   0.9918471      0.1965874E-02
   0.9797412      0.2659124E-02
   0.9660730      0.3483673E-02
   0.9520082      0.4382025E-02
   0.9378681      0.5358198E-02
   0.9236699      0.6408830E-02
   0.9094507      0.7526902E-02
   0.8952167      0.8707364E-02
   0.8809499      0.9943572E-02
   0.8666560      0.1122455E-01
   0.8523688      0.1254337E-01
   0.8381121      0.1390414E-01
   0.8238814      0.1531357E-01
   0.8096563      0.1677407E-01
   0.7954219      0.1828462E-01
   0.7811729      0.1984298E-01
   0.7669095      0.2144458E-01
   0.7526329      0.2308409E-01
   0.7383443      0.2475630E-01
   0.7240456      0.2645740E-01
   0.7097396      0.2818407E-01
   0.6954296      0.2993295E-01
   0.6811189      0.3170175E-01
   0.6668082      0.3348940E-01
   0.6524948      0.3529530E-01
   0.6381734      0.3711854E-01
   0.6238396      0.3895635E-01
   0.6094941      0.4080506E-01
   0.5951430      0.4266024E-01
   0.5807943      0.4451621E-01
   0.5664549      0.4636697E-01
   0.5521277      0.4820693E-01
   0.5378129      0.5003110E-01
   0.5235094      0.5183538E-01
   0.5092170      0.5361573E-01
   0.4949363      0.5536804E-01
   0.4806688      0.5708769E-01
   0.4664153      0.5876957E-01
   0.4521755      0.6040866E-01
   0.4379485      0.6200000E-01
   0.4237337      0.6353784E-01
   0.4095334      0.6501567E-01
   0.3953535      0.6642673E-01
   0.3812027      0.6776310E-01
   0.3670877      0.6901348E-01
   0.3530087      0.7016667E-01
   0.3389599      0.7121209E-01
   0.3249337      0.7213870E-01
   0.3109348      0.7293406E-01
   0.2969852      0.7358537E-01
   0.2831202      0.7407801E-01
   0.2693649      0.7438859E-01
   0.2557085      0.7449316E-01
   0.2421062      0.7436873E-01
   0.2285010      0.7400713E-01
   0.2148737      0.7341260E-01
   0.2012567      0.7259151E-01
   0.1877223      0.7154039E-01
   0.1743274      0.7023715E-01
   0.1610879      0.6865824E-01
   0.1479908      0.6678066E-01
   0.1350259      0.6458501E-01
   0.1221949      0.6205364E-01
   0.1095041      0.5917709E-01
   0.9694161E-01  0.5594833E-01
   0.8448043E-01  0.5234989E-01
   0.7219842E-01  0.4837593E-01
   0.6039309E-01  0.4410547E-01
   0.4932312E-01  0.3961588E-01
   0.3879842E-01  0.3479555E-01
   0.2891006E-01  0.2957297E-01
   0.2110001E-01  0.2474307E-01
   0.1548566E-01  0.2068118E-01
   0.1114426E-01  0.1698934E-01
   0.7536664E-02  0.1334484E-01
   0.4726062E-02  0.9975445E-02
   0.2770878E-02  0.7275320E-02
   0.1421369E-02  0.5144692E-02
   0.5553589E-03  0.3365099E-02
   0.8447835E-04  0.1775781E-02
  -0.2202954E-04  0.2770996E-03
   0.2558696E-03 -0.1205759E-02
   0.9211094E-03 -0.2704594E-02
   0.2003078E-02 -0.4206244E-02
   0.3579132E-02 -0.5621481E-02
   0.5796773E-02 -0.6836211E-02
   0.8930620E-02 -0.7842088E-02
   0.1333231E-01 -0.8848316E-02
   0.1942195E-01 -0.1016008E-01
   0.2727321E-01 -0.1160251E-01
   0.3703704E-01 -0.1293864E-01
   0.4917171E-01 -0.1421093E-01
   0.6267226E-01 -0.1538017E-01
   0.7630774E-01 -0.1636173E-01
   0.9017141E-01 -0.1721159E-01
   0.1043583     -0.1798428E-01
   0.1186913     -0.1870066E-01
   0.1330359     -0.1937138E-01
   0.1473821     -0.2000877E-01
   0.1617504     -0.2061816E-01
   0.1761468     -0.2120344E-01
   0.1905656     -0.2176868E-01
   0.2049975     -0.2231818E-01
   0.2194318     -0.2285516E-01
   0.2338584     -0.2337736E-01
   0.2482708     -0.2388096E-01
   0.2626661     -0.2436228E-01
   0.2770452     -0.2481763E-01
   0.2914128     -0.2524338E-01
   0.3057771     -0.2563627E-01
   0.3201469     -0.2599657E-01
   0.3345277     -0.2632690E-01
   0.3489189     -0.2662979E-01
   0.3633156     -0.2690683E-01
   0.3777128     -0.2715798E-01
   0.3921082     -0.2738307E-01
   0.4065028     -0.2758200E-01
   0.4208988     -0.2775506E-01
   0.4352970     -0.2790265E-01
   0.4496969     -0.2802520E-01
   0.4640962     -0.2812272E-01
   0.4784925     -0.2819420E-01
   0.4928842     -0.2823849E-01
   0.5072705     -0.2825446E-01
   0.5216513     -0.2824104E-01
   0.5360278     -0.2819725E-01
   0.5504016     -0.2812206E-01
   0.5647754     -0.2801464E-01
   0.5791514     -0.2787506E-01
   0.5935290     -0.2770380E-01
   0.6079051     -0.2750135E-01
   0.6222736     -0.2726616E-01
   0.6366262     -0.2699294E-01
   0.6509530     -0.2667616E-01
   0.6652427     -0.2631020E-01
   0.6794877     -0.2588709E-01
   0.6936935     -0.2539737E-01
   0.7078801     -0.2483107E-01
   0.7220784     -0.2418538E-01
   0.7363145     -0.2347004E-01
   0.7506009     -0.2269650E-01
   0.7649367     -0.2187656E-01
   0.7793117     -0.2102106E-01
   0.7937131     -0.2014091E-01
   0.8081239     -0.1924494E-01
   0.8225240     -0.1833170E-01
   0.8368912     -0.1739721E-01
   0.8512029     -0.1643393E-01
   0.8654438     -0.1542471E-01
   0.8796117     -0.1435086E-01
   0.8937190     -0.1319705E-01
   0.9077904     -0.1195016E-01
   0.9218602     -0.1060278E-01
   0.9359478     -0.9162737E-02
   0.9500245     -0.7640051E-02
   0.9639259     -0.6051614E-02
   0.9773039     -0.4442028E-02
   0.9892932     -0.2931260E-02
   0.9972600     -0.1890000E-02
